title,link,views,watched
C++20: C++ at 40 - Bjarne Stroustrup - CppCon 2019,https://www.youtube.com/watch?v=u_ij0YNkFUs,272738,x
Sorting Algorithms: Speed Is Found In The Minds of People - Andrei Alexandrescu - CppCon 2019,https://www.youtube.com/watch?v=FJJTYQYB1JQ,174709,x
CppCon 2019: Chandler Carruth “There Are No Zero-cost Abstractions”,https://www.youtube.com/watch?v=rHIkrotSwcc,125717,x
Back to Basics: Move Semantics (part 1 of 2) -  Klaus Iglberger - CppCon 2019,https://www.youtube.com/watch?v=St0MNEU5b0o,106294,x
CppCon 2019: Jason Turner 'The Best Parts of C++',https://www.youtube.com/watch?v=iz5Qx18H6lg,88869,x
De-fragmenting C++: Making Exceptions and RTTI More Affordable and Usable - Herb Sutter  CppCon 2019,https://www.youtube.com/watch?v=ARYP83yNAWk,86491,x
Non-conforming C++: the Secrets the Committee Is Hiding From You - Miro Knejp - CppCon 2019,https://www.youtube.com/watch?v=IAdLwUXRUvg,83414,x
Back to Basics: RAII and the Rule of Zero - Arthur O'Dwyer - CppCon 2019,https://www.youtube.com/watch?v=7Qgd9B1KuMQ,76101,x
C++ Code Smells - Jason Turner - CppCon 2019,https://www.youtube.com/watch?v=f_tLQl0wLUM,75781,x
Back to Basics: Lambdas from Scratch - Arthur O'Dwyer - CppCon 2019,https://www.youtube.com/watch?v=3jCOwajNch0,72288,x
Mathieu Ropert “This Videogame Programmer Used the STL and You Will Never Guess What Happened Next”,https://www.youtube.com/watch?v=6hC9IxqdDDw,71553,
CppCon 2019: Arthur O'Dwyer “Back to Basics: Smart Pointers”,https://www.youtube.com/watch?v=xGDLkt-jBJ4,68932,
Back to Basics: Function and Class Templates - Dan Saks - CppCon 2019,https://www.youtube.com/watch?v=LMP_sxOaz6g,68509,
CppCon 2019: Matt Godbolt “Path Tracing Three Ways: A Study of C++ Style”,https://www.youtube.com/watch?v=HG6c4Kwbv4I,67301,
Embrace Modern Technology: Using HTML 5 for GUI in C++ - Borislav Stanimirov - CppCon 2019,https://www.youtube.com/watch?v=bbbcZd4cuxg,58810,
"What is C++ - Chandler Carruth, Titus Winters - CppCon 2019",https://www.youtube.com/watch?v=LJh5QCV4wDg,57339,x
Applied WebAssembly: Compiling and Running C++ in Your Web Browser - Ben Smith - CppCon 2019,https://www.youtube.com/watch?v=5N4b-rU-OAA,48664,x
Back to Basics: Object-Oriented Programming - Jon Kalb - CppCon 2019,https://www.youtube.com/watch?v=32tDTD9UJCE,48547,
Better Code: Relationships - Sean Parent - CppCon 2019,https://www.youtube.com/watch?v=ejF6qqohp3M,45604,x
Back to Basics: Move Semantics (part 2 of 2) - Klaus Iglberger - CppCon 2019,https://www.youtube.com/watch?v=pIzaZbKUw2s,42174,x
CppCon 2019: Kate Gregory “Naming is Hard: Let's Do Better”,https://www.youtube.com/watch?v=MBRoCdtZOYg,40733,
Stephan T. Lavavej “Floating-Point ＜charconv＞: Making Your Code 10x Faster With C++17's Final Boss”,https://www.youtube.com/watch?v=4P_kbF0EbZM,37472,x
C++ Design Patterns: From C++03 to C++17 - Fedor Pikus - CppCon 2019,https://www.youtube.com/watch?v=MdtYi0vvct0,35981,
Type punning in modern C++ - Timur Doumler - CppCon 2019,https://www.youtube.com/watch?v=_qzMpk-22cc,34764,
Back to Basics: Type Erasure - Arthur O'Dwyer - CppCon 2019,https://www.youtube.com/watch?v=tbUCHifyT24,34268,
