title,link,views,watched
CppCon 2018:H. Wright “Large-Scale Changes at Google: Lessons Learned From 5 Yrs of Mass Migrations”,https://www.youtube.com/watch?v=TrC6ROeV4GI,14684,
CppCon 2018: “Grill the Committee”,https://www.youtube.com/watch?v=cH0nJPbMFAY,14604,
CppCon 2018: Jon Kalb “This is Why We Can’t Have Nice Things”,https://www.youtube.com/watch?v=fv--IKZFVO8,14554,
"CppCon 2018: Robert Schumacher “Don't package your libraries, write packagable libraries!”",https://www.youtube.com/watch?v=sBP17HQAQjk,14428,
CppCon 2018: Titus Winters “Modern C++ Design (part 2 of 2)”,https://www.youtube.com/watch?v=tn7oVNrPM8I,14274,x
CppCon 2018: Nathan Sidwell “C++ Modules”,https://www.youtube.com/watch?v=xi2lTaC5p0I,14074,
CppCon 2018: James McNellis “Unwinding the Stack: Exploring How C++ Exceptions Work on Windows”,https://www.youtube.com/watch?v=COEv2kq_Ht8,13436,
CppCon 2018: Peter Bindels “Build Systems: a Simple Solution to a Complicated Problem”,https://www.youtube.com/watch?v=mWOmkwv8N_U,13351,
CppCon 2018: Brian Ruth “std::basic_string: for more than just text”,https://www.youtube.com/watch?v=SDJImePyftY,12628,
CppCon 2018: Staffan Tjernström “Almost Always Avoiding auto”,https://www.youtube.com/watch?v=bSgrKgfFFMQ,12490,
CppCon 2018: John Lakos “C++ Modules and Large-Scale Development”,https://www.youtube.com/watch?v=K_fTl_hIEGY,12252,
"CppCon 2018: Bob Steagall “Fast Conversion From UTF-8 with C++, DFAs, and SSE Intrinsics”",https://www.youtube.com/watch?v=5FQ87-Ecb-A,12184,
CppCon 2018:  Brand & Nash “What Could Possibly Go Wrong?: A Tale of Expectations and Exceptions”,https://www.youtube.com/watch?v=GC4cp4U2f2E,11865,
CppCon 2018: Richard Powell ‘How to Argue(ment)’,https://www.youtube.com/watch?v=ZbVCGCy3mGQ,11746,
CppCon 2018: Stephan T. Lavavej “Class Template Argument Deduction for Everyone”,https://www.youtube.com/watch?v=-H-ut6j1BYU,11667,
CppCon 2018: Victor Ciura “Enough string_view to Hang Ourselves”,https://www.youtube.com/watch?v=xwP4YCP_0q0,11004,
CppCon 2018: Kostya Serebryany “Memory Tagging and how it improves C/C++ memory safety”,https://www.youtube.com/watch?v=lLEcbXidK2o,10741,
CppCon 2018: Bryce Adelstein Lelbach “The C++ Execution Model”,https://www.youtube.com/watch?v=FJIn1YhPJJc,10208,
CppCon 2018: “C++ Dependency Management: from Package Consumption to Project Development”,https://www.youtube.com/watch?v=Nni2Qu2WitY,10123,
CppCon 2018: JeanHeyd Meneide “Scripting at the Speed of Thought: Lua and C++ with sol3”,https://www.youtube.com/watch?v=xQAmGBfKnas,9849,
CppCon 2018: Ólafur Waage “Let's learn programming by inventing it”,https://www.youtube.com/watch?v=l5Mp_DEn4bs,9738,
CppCon 2018: Michael Gopshtein “CUDA Kernels with C++”,https://www.youtube.com/watch?v=HIJTRrm9nzY,9443,
CppCon 2018: James McNellis “The Shape of a Program”,https://www.youtube.com/watch?v=P2lxGnbDkDI,9340,
CppCon 2018: Juan Pedro Bolivar Puente “The Most Valuable Values”,https://www.youtube.com/watch?v=_oBx_NbLghY,9329,
CppCon 2018: Tsung-Wei Huang “Fast Parallel Programming using Modern C++”,https://www.youtube.com/watch?v=ho9bqIJkvkc,9322,
CppCon 2018: “Secure Coding Best Practices: Your First Line Is The Last Line Of Defense (2 of 2)”,https://www.youtube.com/watch?v=i0m0FBD-McY,9278,
CppCon 2018: “Closing Panel: Spectre”,https://www.youtube.com/watch?v=mt_ULMnQ4_A,9250,
CppCon 2018: Tom Poole “Why and How to Roll Your Own std::function Implementation”,https://www.youtube.com/watch?v=VY83afAJUIg,9201,
CppCon 2018: Arvid Gerstmann “Building a C++ Reflection System in One Weekend Using Clang and LLVM”,https://www.youtube.com/watch?v=DUiUBt-fqEY,9005,
CppCon 2018: Barbara Geller & Ansel Sermersheim “Undefined Behavior is Not an Error”,https://www.youtube.com/watch?v=XEXpwis_deQ,8985,
CppCon 2018: Barbara Geller & Ansel Sermersheim “Undefined Behavior is Not an Error”,https://www.youtube.com/watch?v=XEXpwis_deQ,8985,
CppCon 2018: Barbara Geller & Ansel Sermersheim “Undefined Behavior is Not an Error”,https://www.youtube.com/watch?v=XEXpwis_deQ,8985,
CppCon 2018: “Latest and Greatest in the Visual Studio Family for C++ Developers 2018”,https://www.youtube.com/watch?v=6NAAuxWNhk4,8948,
CppCon 2018: Dan Saks “Making New Friends”,https://www.youtube.com/watch?v=POa_V15je8Y,8629,
CppCon 2018: Simon Brand “std::optional”,https://www.youtube.com/watch?v=-5MlmugEzG0,8398,
CppCon 2018: Timur Doumler & Dmitry Kozhevnikov “Parsing C++”,https://www.youtube.com/watch?v=WfIr7lKT4Sk,8354,
CppCon 2018: Olivier Giroux “High-Radix Concurrent C++”,https://www.youtube.com/watch?v=75LcDvlEIYw,8304,
CppCon 2018: Simon Brand “How to Write Well-Behaved Value Wrappers”,https://www.youtube.com/watch?v=J4A2B9eexiw,8162,
CppCon 2018: Ilya Biryukov “Clangd: architecture of a scalable C++ language server”,https://www.youtube.com/watch?v=5HIyAXj1YNQ,8086,
CppCon 2018: Rong Lu “What's new in Visual Studio Code for C++ development”,https://www.youtube.com/watch?v=JME1i3vCRR8,8083,
CppCon 2018: Damien Buhl “C++ Everywhere with WebAssembly”,https://www.youtube.com/watch?v=QPJPS-Jjb-g,8041,
CppCon 2018: Fred Tingaud “A Little Order: Delving into the STL sorting algorithms”,https://www.youtube.com/watch?v=-0tO3Eni2uo,7980,
"CppCon 2018: Greg Falcon “Initialization, Shutdown, and constexpr”",https://www.youtube.com/watch?v=6ZOygaUjzjQ,7873,
"CppCon 2018: Ben Deane “Operator Overloading: History, Principles and Practice”",https://www.youtube.com/watch?v=zh4EgO13Etg,7867,
CppCon 2018: Zach Turner “Clang on Windows: It's a Thing”,https://www.youtube.com/watch?v=WLdid9PvaPo,7866,
CppCon 2018: Robert Ramey “Safe Numerics”,https://www.youtube.com/watch?v=93Cjg42bGEw,7860,
CppCon 2018: Gordon Brown “A Modern C++ Programming Model for GPUs using Khronos SYCL”,https://www.youtube.com/watch?v=miqZS6aS9K0,7433,
CppCon 2018: Arthur O'Dwyer “An Allocator is a Handle to a Heap”,https://www.youtube.com/watch?v=IejdKidUwIg,7220,
CppCon 2018: Walter E. Brown “Thank You (I’m sorry that it’s taken me so long to say it)”,https://www.youtube.com/watch?v=L5daPjK00bo,7123,
CppCon 2018: Arthur O'Dwyer “Trivially Relocatable”,https://www.youtube.com/watch?v=xxta6LEn9Hk,7013,
CppCon 2018:Nicolas Fleury & Mathieu Nayrolles “Better C++ using Machine Learning on Large Projects”,https://www.youtube.com/watch?v=QDvic0QNtOY,6823,
CppCon 2018: Odin Holmes “Concurrency Challenges of Interrupt Service Routines”,https://www.youtube.com/watch?v=gcRdG7dGMOw,6736,
CppCon 2018: Borislav Stanimirov “The Bad Big Wolf Meets Riding Hood Little Red”,https://www.youtube.com/watch?v=Dw0UBuTKHHg,6608,
CppCon 2018: Boris Kolpackov “What to Expect from a Next-Generation C++ Build System”,https://www.youtube.com/watch?v=cJP7SSLjvSI,6505,
CppCon 2018: Marc Gregoire “Writing Standard Library Compliant Data Structures and Algorithms”,https://www.youtube.com/watch?v=fChDijocVec,6236,
CppCon 2018: Valentin Galea “Rapid Prototyping of Graphics Shaders in Modern C++”,https://www.youtube.com/watch?v=8FoAxasNssA,6187,
CppCon 2018: Richard Powell “Named Arguments from Scratch”,https://www.youtube.com/watch?v=Grveezn0zhU,6164,
CppCon 2018: Mateusz Pusz “How to create slides about CMake with CMake?”,https://www.youtube.com/watch?v=sFH8IvPfHx0,6146,
CppCon 2018: Arno Lepisk “Avoiding Disasters with Strongly Typed C++”,https://www.youtube.com/watch?v=1fwbG5TyI18,6049,
CppCon 2018: Guy Davidson “Lightweight 2D graphics with io2d”,https://www.youtube.com/watch?v=7Jk1a4cnukQ,6015,
CppCon 2018: Fabian Renn-Giles “A Semi Compile/Run-time Map with (Nearly) Zero Overhead Lookup”,https://www.youtube.com/watch?v=qNAbGpV1ZkU,5983,
CppCon 2018: Peter Sommerlad “Sane and Safe C++ Classes”,https://www.youtube.com/watch?v=REIEaUY9np4,5881,
