"title","link","views","watch"
"Building an Intuition for Composition - Sy Brand - CppCon 2020","https://www.youtube.com/watch?v=AGRWRwi7rD0",12551,
"Some Things C++ Does Right - Patrice Roy - CppCon 2020","https://www.youtube.com/watch?v=bMSrNBcir4Y",12403,
"Become A Game Developer In 5 Minutes Or Less - Mathieu Ropert - CppCon 2020","https://www.youtube.com/watch?v=H4N8xYue_3Q",11598,
"Calling Functions: A Tutorial - Klaus Iglberger - CppCon 2020","https://www.youtube.com/watch?v=GydNMuyQzWo",10949,
"Collaborative C++ Development with Visual Studio Code - Julia Reid - CppCon 2020","https://www.youtube.com/watch?v=qCn6zT76zTs",10473,
"A Relaxed Guide to memory_order_relaxed - Paul E. McKenney & Hans Boehm - CppCon 2020","https://www.youtube.com/watch?v=cWkUqK71DZ0",9675,
"Build Everything From Source: A Case Study in Fear - Dave Steffen - CppCon 2020","https://www.youtube.com/watch?v=54uVTkhinDE",9421,
"Modern C++ Safety and Security At 20 - Matthew Butler - CppCon 2020","https://www.youtube.com/watch?v=uccarZGpDhk",9400,
"cppinclude - Tool for analyzing includes in C++ - Oleg Fedorenko - CppCon 2020","https://www.youtube.com/watch?v=DXil_ahLTyg",9384,
"40 Years Of Evolution from Functions to Coroutines - Rainer Grimm - CppCon 2020","https://www.youtube.com/watch?v=jd6P9X8l2bY",9339,
"Lakos’20: The “Dam” Book is Done! - John Lakos - CppCon 2020","https://www.youtube.com/watch?v=d3zMfMC8l5U",8853,
"The Surprising Costs of void() (and Other Not-Quite-Innocuous Evils) - Patrice Roy - CppCon 2020","https://www.youtube.com/watch?v=Wg1f9Sufyic",8671,
"Constructing Generic Algorithms: Principles and Practice - Ben Deane - CppCon 2020","https://www.youtube.com/watch?v=InMh3JxbiTs",8405,
"Songs of My People - Tony Van Eerd - CppCon 2020","https://www.youtube.com/watch?v=MhQe66nuMO0",8394,
"Quickly Testing Qt Desktop Applications with Approval Tests - Clare Macrae - CppCon 2020","https://www.youtube.com/watch?v=J27HoZM_PTI",8230,
"Adventures in SIMD-Thinking (part 2 of 2) - Bob Steagall - CppCon 2020","https://www.youtube.com/watch?v=qXleSwCCEvY",8161,
"C++ Dependency Management the Meson Way - Jussi Pakkanen - CppCon 2020","https://www.youtube.com/watch?v=NUxgbXEXAoU",8011,
"How many languages a (C++) expert should speak ? - Thomas Lourseyre - CppCon 2020","https://www.youtube.com/watch?v=bMD6fwCNLaU",8000,
"Just-in-Time Compilation: The Next Big Thing? - Ben Deane & Kris Jusiak - CppCon 2020","https://www.youtube.com/watch?v=I3ov8HcdVKw",7862,
"The Future of C++ Parallel and Concurrency Safety Guidelines - Michael Wong & Ilya Burylov CppCon 20","https://www.youtube.com/watch?v=SbQVY-JOrgg",7825,
"Design Patterns for Handling/Reporting Errors in C++ - Parallel Algorithms & Executors -Mark Hoemmen","https://www.youtube.com/watch?v=DpLZ4pnrx0o",7805,
"Get Off My Thread: Techniques for Moving Work to Background Threads - Anthony Williams - CppCon 2020","https://www.youtube.com/watch?v=iUKxvEg0zdk",7705,
"Building a Coroutine based Job System without Standard Library - Tanki Zhang - CppCon 2020","https://www.youtube.com/watch?v=KWi793v5uA8",7301,
"A Physical Units Library For the Next C++ - Mateusz Pusz - CppCon 2020","https://www.youtube.com/watch?v=7dExYGSOJzo",7263,
"SICP Cover Demystified - Conor Hoekstra - CppCon 2020","https://www.youtube.com/watch?v=e0vnRZN5GB0",7242,
"Code Samples That Compile Even More Easily - Clare Macrae - CppCon 2020","https://www.youtube.com/watch?v=aw2mQKXhgvU",7192,
"How to Cook a Chicken - Sy Brand - CppCon 2020","https://www.youtube.com/watch?v=K6qvL_buqc0",6707,
"A Multi-threaded, Transaction-Based Locking Strategy for Containers - Bob Steagall - CppCon 2020","https://www.youtube.com/watch?v=Pi243hGxDyA",6682,
"Introducing Microsoft’s New Open Source Fuzzing Platform - Michael Walker & Justin Campbell - CppCon","https://www.youtube.com/watch?v=NsmRPRxhLn0",6666,
"Cross-Platform Pitfalls and How to Avoid Them - Erika Sweet - CppCon 2020","https://www.youtube.com/watch?v=oYCin0B037Y",6623,
"What did I learn teaching C++ to beginners - Alex Voronov - CppCon 2020","https://www.youtube.com/watch?v=FYwSAHgIeKA",6584,
"Why C++ for Large Scale Systems? - Ankur Satle - CppCon 2020","https://www.youtube.com/watch?v=5ji9iRq7JoE",6422,
"Macro-Free Testing With C++20 - Kris Jusiak - CppCon 2020","https://www.youtube.com/watch?v=irdgFyxOs_Y",6346,
"Not Leaving Performance On The Jump Table - Eduardo Madrid - CppCon 2020","https://www.youtube.com/watch?v=e8SyxB3_mnw",6322,
"C++20 Lambdas: Familiar Template Syntax - Ben Deane - CppCon 2020","https://www.youtube.com/watch?v=uOc6RPu9-CA",6279,
"Heterogeneous Programming in C++ with SYCL 2020 - Michael Wong & Gordon Brown - CppCon 2020","https://www.youtube.com/watch?v=fxCnpNVPazk",6267,
"C++ Standards Committee Fireside Chat hosted by Herb Sutter - CppCon 2020","https://www.youtube.com/watch?v=lil4xfpmnF4",6263,
"2020: The Year of Sanitizers? - Victor Ciura - CppCon 2020","https://www.youtube.com/watch?v=xEzfnbTabyE",6175,
"Exploration of C++20 Meta Programming - Inbal Levi - CppCon 2020","https://www.youtube.com/watch?v=XgrjybKaIV8",6150,
"Can software developers draw pictures? - Honey Sukesan - CppCon 2020","https://www.youtube.com/watch?v=hQjJzb-c05o",5512,
"No Touchy! A Case Study of Software Architecture with Immutable Objects - Borislav Stanimirov","https://www.youtube.com/watch?v=ZSrIZW2Hzhk",5506,
"The Many Shades of reference_wrapper - Zhihao Yuan - CppCon 2020","https://www.youtube.com/watch?v=EKJMZCL00Ak",5321,
"Making Iterators, Views and Containers Easier to Write with Boost.STLInterfaces - Zach Laine CppCon","https://www.youtube.com/watch?v=JByCzWaGxhE",5233,
"Build all the things with Spack: a package manager for more than C++ - Todd Gamblin - CppCon 2020","https://www.youtube.com/watch?v=yuhV7iKRIJU",5199,
"Unicorns - Mathieu Ropert - CppCon 2020","https://www.youtube.com/watch?v=eKHUe2k2gi0",5157,
"Dealing with Embedded Limitations - Panel Discussion hosted by Ben Saks - CppCon 2020","https://www.youtube.com/watch?v=v_4D43nASt4",5005,
"Exceptions Under the Spotlight - Inbal Levi - CppCon 2020","https://www.youtube.com/watch?v=N_-bUNMLGvE",4417,
"How We Used To Be - Ben Deane - CppCon 2020","https://www.youtube.com/watch?v=ip_SR9CQrxk",4253,
"Fuzzing Class Interfaces for Generating and Running Tests with libFuzzer - Barnabás Bágyi - CppCon","https://www.youtube.com/watch?v=TtPXYPJ5_eE",4243,
"The Shapes of Multi-Dimensional Arrays - Vincent Reverdy - CppCon 2020","https://www.youtube.com/watch?v=wHu6TGela6A",4136,
"What's My Object? - Staffan Tjernström - CppCon 2020","https://www.youtube.com/watch?v=FK74MRgU2yU",4066,
"Reasoning with function signatures - Gabriel Aubut-Lussier - CppCon 2020","https://www.youtube.com/watch?v=8rU6eEiRV5k",4049,
"Why Conan (part II, 5 reasons to use Conan in 2020) - Diego Rodriguez-Losada - CppCon 2020","https://www.youtube.com/watch?v=-p8uL9QDL_k",3925,
